"Charity Number","Charity Subsidiary Number","Charity Name","Charity Address","Charity Postcode","Charity Constituency","Phone","Email","Website","Last Recorded Financial Year","Last Recorded Income","Last Recorded Expenditure","Charity Status","Charity Type","How the charity helps","What the charity does","Who the charity helps","Activities","Charity Objects"
"1137186","0","LUNCH POSITIVE","LUNCH POSITIVE, COMMUNITY BASE, 113 QUEENS ROAD, BRIGHTON","","","07846 464384","service@lunchpositive.org","www.lunchpositive.org","31/05/2024","132579","118881","Registered","Trust","Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Other Charitable Purposes","People With Disabilities, Other Defined Groups","Lunch Positive runs a weekly lunch club & community space for all adults with HIV.The service is delivered by volunteers, provides increased access to good nutrition, a safe and supportive space for people to meet; to find peer support, build supportive networks and reduce social isolation. We signpost & offer advice. The service actively involves members in volunteering and helping activities.","TO RELIEVE THE NEEDS OF PERSONS AFFECTED BY HIV BY THE PROVISION OF A LUNCH SERVICE, INFORMATION AND ADVICE ON HEALTHY EATING AND LIFESTYLES AND A SIGNPOSTING SERVICE TO OTHER HIV NUTRITIONAL SUPPORT SERVICES."
"1137194","0","BRIGHTON AND HOVE FOSTER CARE ASSOCIATION","12 Taunton Road, BRIGHTON","BN2 4JN","Brighton Kemptown and Peacehaven","01273382750","bandhfca@gmail.com","","05/04/2024","103","434","Registered","Other","Provides Services, Provides Advocacy/advice/information","Education/training, Other Charitable Purposes","Children/young People, Other Defined Groups","We hold coffee mornings and summer outings and support groups to provide support and friendship to our foster families and their foster children.","TO RELIEVE THE CHARITABLE NEEDS OF FOSTER CHILDREN, FOSTER CARERS APPROVED BY BRIGHTON & HOVE CITY COUNCIL ARID THEIR FAMILIES BY THE PROVISION OF ADVICE, SUPPORT AND SERVICES.
THE PROTECTION AND PRESERVATION OF GOOD HEALTH OF FOSTER CARERS APPROVED BY BRIGHTON & HOVE CITY COUNCIL.
TO ADVANCE THE TRAINING, INFORMATION AND SUPPORT PROVIDED TO FOSTER CARERS AND THEIR FAMILIES"
"1137747","0","BRIGHTHELM CHURCH AND COMMUNITY CENTRE TRUST LIMITED","Brighthelm Church & Community Centr, North Road, BRIGHTON","BN1 1YD","Brighton Pavilion","01273821512","info@brighthelm.org.uk","www.brighthelm.org.uk","31/12/2023","194719","319479","Registered","Charitable company","Provides Buildings/facilities/open Space, Provides Services, Other Charitable Activities","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Religious Activities, Environment/conservation/heritage","Children/young People, Other Charities Or Voluntary Bodies, The General Public/mankind","United Reformed Church
Venue
Meeting rooms
Community cafe
Community Garden","1  THE ADVANCEMENT OF THE CHRISTIAN RELIGION FOR THE BENEFIT OF THE PUBLIC THROUGH THE PUBLIC WORSHIP OF GOD ACCORDING TO THE PRINCIPLES AND USAGES OF THE UNITED REFORMED CHURCH.2  THE ADVANCEMENT OF EDUCATION THROUGH THE INSTRUCTION OF CHILDREN OR ADULTS.3  THE PROMOTION OF OTHER CHARITABLE PURPOSES NOT INCONSISTENT WITH THE PRINCIPLES AND USAGES OF THE UNITED REFORMED CHURCH."
"1137756","0","THE DEANS YOUTH PROJECT","WOODINGDEAN YOUTH CENTRE, WARREN ROAD, BRIGHTON","BN2 6BB","Brighton Kemptown and Peacehaven","01273600606","woodingdeanyc@btconnect.com","www.deansyouthproject.org","31/03/2025","31455","45498","Registered","Charitable company","Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","Education/training, Amateur Sport","Children/young People, People With Disabilities, Other Charities Or Voluntary Bodies","The object of the Charity (""the Object"") is to help and educate young persons through their leisure-time
activities so as to develop their physical, mental and spiritual capacities that they may grow to full maturity
as individuals and members of society and that their conditions of life may be improved","THE OBJECT OF THE CHARITY (""THE OBJECT"") IS TO HELP AND EDUCATE YOUNG PERSONS THROUGH THEIR LEISURE-TIME ACTIVITIES SO AS TO DEVELOP THEIR PHYSICAL, MENTAL AND SPIRITUAL CAPACITIES THAT THEY MAY GROW TO FULL MATURITY AS INDIVIDUALS AND MEMBERS OF SOCIETY AND THAT THEIR CONDITIONS OF LIFE MAY BE IMPROVED."
"1138073","0","UK HOMES 4 HEROES PRIDE AND PASSION LTD","Uk Homes 4 Heroes Pride &amp; Passion, Unit 4 Oyster Bay, St Augustines Business Park, WHITSTABLE, Kent","CT5 2FF","Canterbury","02072376363","ukhomes4heroes@prideandpassion.org.uk","www.ukh4h.org.uk","31/05/2024","133142","144084","Registered","Charitable company","Makes Grants To Individuals, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Accommodation/housing","Other Defined Groups","Providing food and guidance at street level and accommodation to and advancing the care of ex- service personnel including  Mental health issues / PTSD support and any other concerns is available through the charity  Day centre/hub.
The charity offer free respite breaks in two locations staying in static holiday homes (charity owned)  available to former members of her Majesty's armed force.","THE PROMOTION OF THE EFFICIENCY OF THE ARMED FORCES OF THE CROWN BY ASSISTING SERVICE PERSONNEL LEAVING THE ARMED FORCES TO RESETTLE INTO THE CIVIL COMMUNITY AND THE RELIEF OF FORMER SERVING MEMBERS OF THE ARMED FORCES OF THE CROWN AND THEIR FAMILIES IN CHARITABLE NEED THROUGH THE PROVISION OF HOUSING, ACCOMMODATION, FACILITIES, SERVICES OR OTHER CHARITABLE SUPPORT."
"1138597","0","SUSSEX FESTIVAL OF DANCE AND SONG","193 Upper Shoreham Road, SHOREHAM-BY-SEA","BN43 6BT","East Worthing and Shoreham","07787556998","becky_kirkham@hotmail.co.uk","www.sussexfestival.co.uk","31/07/2024","68818","55224","Registered","Charitable company","Provides Services","Arts/culture/heritage/science","Children/young People, People With Disabilities","THE OPERATION OF AN ANNUAL FESTIVAL OF DANCE AND PERFORMING ARTS.","TO ADVANCE, PROMOTE AND ENCOURAGE GENERALLY AND IN PARTICULAR BY MEANS OF COMPETITIVE FESTIVALS THE STUDY OF DANCE AND SONG BY ORGANISING AN ANNUAL FESTIVAL OF DANCE AND SONG.TO FOSTER THE AIMS AND OBJECTS OF THE BRITISH AND INTERNATIONAL FEDERATION OF MUSIC, DANCE AND SPEECH."
"1138648","0","FRESH START PORTSLADE","Easthill Park Community Cafe, Easthill Park, Portslade, East Sussex","BN41 2FA","Hove and Portslade","01273","FRESHSTARTSUSSEX@HOTMAIL.CO.UK","myportslade.com","31/12/2024","23736","23940","Registered","Other","Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","General Charitable Purposes, Education/training, Environment/conservation/heritage, Economic/community Development/employment","Children/young People, Elderly/old People, The General Public/mankind","To help young people and all other age groups via:1. Training at the Fresh Start social enterprise2. Provide personal support & activities which develop the skills, capabilities & confidence3. Provide direct support and guidance on job seeking and employment advice4. General community, health & heritage projects and developments for all age groups within the BN41 postcodes.","TO ADVANCE IN LIFE AND HELP YOUNG UNEMPLOYED PEOPLE (AGED 16 TO 25) THROUGH:
(A) THE PROVISION OF PAID EMPLOYMENT AND TRAINING VIA THE FRESH START SOCIAL ENTERPRISE BUSINESS.
(B) PROVIDING PERSONAL SUPPORT AND ACTIVITIES WHICH DEVELOP THEIR SKILLS, CAPACITIES  AND CAPABILITIES TO ENABLE THEM TO PARTICIPATE IN SOCIETY AS MATURE AND RESPONSIBLE INDIVIDUALS. 
(C) ADVANCING EDUCATION VIA WORK EXPERIENCE, ON-THE-JOB TRAINING, AND TRAINING FROM EXTERNAL ORGANISATIONS.
(D) RELIEVING UNEMPLOYMENT."
"1138715","0","THE PAROCHIAL CHURCH COUNCIL OF THE ECCLESIASTICAL PARISH OF ST MARGARET ROTTINGDEAN","THE VICARAGE, STEYNING ROAD, ROTTINGDEAN, BRIGHTON","BN2 7GA","Brighton Kemptown and Peacehaven","01273281302","churchoffice@stmargaret.org.uk","www.stmargaret.org.uk","31/12/2024","181022","112414","Registered","Previously excepted","Makes Grants To Organisations, Provides Buildings/facilities/open Space, Provides Services","Religious Activities","The General Public/mankind","Church of England in Rottingdean, Brighton, East Sussex","Promoting in the ecclesiastical parish the whole mission of the Church."
"1138741","0","THE LONDON PATHWAY","4TH FLOOR EAST, 250 EUSTON ROAD, LONDON","NW1 2PG","Holborn and St Pancras","02034479351","info@pathway.org.uk","www.pathway.org.uk","30/06/2024","1222169","1501376","Registered","Charitable company","Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research","Education/training, The Advancement Of Health Or Saving Of Lives","Other Defined Groups","Provide support to homeless patients admitted to hospital by mentoring & advocating for homeless people during hospital stays & following discharge; define, establish & implement a model of medical respite care for homeless patients; support the Faculty of Homeless & Inclusion Health, ensure homeless people have a voice in healthcare provision and a role in co-production of Pathway's work.","THE OBJECTS OF THE CHARITY (THE 'OBJECTS') ARE TO ADVANCE SUCH PURPOSES AS ARE CHARITABLE FOR THE ADVANCEMENT OF HEALTHCARE FOR, AND FOR THE RELIEF OF NEED OF, PEOPLE EXPERIENCING HOMELESSNESS OR AT RISK OF HOMELESSNESS AND OTHERS OFTEN EXCLUDED FROM SOCIETY, INCLUDING, BUT NOT EXCLUSIVELY, ALCOHOLICS, DRUG USERS AND THOSE SUFFERING FROM MENTAL OR PHYSICAL HEALTH PROBLEMS ('EXCLUDED PEOPLE') BY, BUT NOT EXCLUSIVELY: 
(A) THE DEVELOPMENT OF TARGETED HEALTHCARE AND NURSING SUPPORT FOR EXCLUDED PEOPLE; 
(B) THE PROVISION OF FOLLOW-UP SUPPORT AFTER THEIR DISCHARGE FROM HOSPITAL; AND 
(C) THE PROVISION OF HEALTHCARE-RELATED EDUCATION AND TRAINING FOR EXCLUDED PEOPLE AND FOR STAFF AND VOLUNTEERS WORKING WITH EXCLUDED PEOPLE."
"1138806","0","BRIGHTON GOES GOSPEL","78 VALE AVENUE, BRIGHTON","BN1 8UA","Brighton Pavilion","07880521006","info@bggchoir.org.uk","www.bggchoir.org.uk","31/07/2024","0","2803","Registered","Charitable company","Provides Services","Education/training, Arts/culture/heritage/science","The General Public/mankind","Brighton Goes Gospel is a non-religious (all religions and none) community gospel choir run by volunteers.Two choirs perform under the BGG umbrella:The Workshop Choir BGG workshops are open to anyone who wants to try singing in the gospel style The Performance Choir is more experienced members of BGG who have been singing for some time and who perform to a high level at the concert.","TO ADVANCE THE EDUCATION OF THE PUBLIC IN THE ART OF GOSPEL SINGING THROUGH A RANGE OF ACTIVITIES INCLUDING TRAINING COURSES AND THE CREATION AND PROMOTION OF PERFORMANCE WORK"
"1138898","0","BRIGHTON & HOVE SOIREE ROTARY SETTLEMENT","24 St. Marys Square, BRIGHTON","BN2 1FZ","Brighton Kemptown and Peacehaven","01273002075","Christopher.Baron@soireerotaryclub.com","","30/06/2024","27030","30833","Registered","Trust","Makes Grants To Individuals, Makes Grants To Organisations, Provides Other Finance, Provides Human Resources","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Amateur Sport, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","To hold and apply the Trust Fund both capital and income for the relief of the poor and needy or to or for such other charitable purposes/institution/society or as the club shall in a duly constitutional meeting from time to time direct.","THE TRUSTEES SHALL HOLD AND APPLY THE TRUST FUND AND ALL OTHER MONIES WHICH MAY FROM TIME TO TIME BE RECEIVED BY THE TRUSTEES (WHETHER SUCH MONIES SHALL ARISE FROM DONATIONS BEQUESTS DEEDS OF COVENANT OR FROM ANY OTHER SOURCE) AND ALSO THE INVESTMENTS FOR THE TIME BEING REPRESENTING THE SAME UPON TRUST TO APPLY BOTH THE CAPITAL AND INCOME THEREOF TO OR FOR THE RELIEF OF THE POOR AND NEEDY FOR EDUCATIONAL OR SUCH OTHER CHARITABLE OR OTHER PURPOSES AS SHALL BE AGREED BY THE TRUSTEES FROM TIME TO TIME TO INCLUDE LENDING ALL OR PART OF THE TRUST FUND TO INSTITUTIONS/INDIVIDUALS/SOCIETIES/ ASSOCIATIONS WITH OR WITHOUT INTEREST AS THE TRUSTEES IN THEIR ABSOLUTE DISCRETION SEE FIT."
"1139971","0","THE HANGLETON & KNOLL PROJECT","St. Richards Church and Com. Centre, Egmont Road, HOVE, East Sussex","BN3 7FP","Hove and Portslade","01273706469","info@hkproject.org.uk","www.hkproject.org.uk","31/03/2024","668772","639378","Registered","Charitable company","Provides Services, Provides Advocacy/advice/information","Education/training, The Advancement Of Health Or Saving Of Lives, Arts/culture/heritage/science, Amateur Sport, Economic/community Development/employment","Children/young People, Elderly/old People, Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","Community Charity working with the residents of Hangleton & Knoll. Youth Work, Community Learning, Community Development Work","TO PROMOTE FOR THE BENEFITS OF THE IN HABITANTS OF THE BRIGHTON AND HOVE AREA (AS COVERED BY THE NEWLY FORMED BRIGHTON AND HOVE COUNCIL). HEREINAFTER CALLED ""THE AREA OF BENEFIT"""
"1140091","0","THIRD AGE COUNSELLING","SPIRE HOUSE, 6 Swinegate, GRANTHAM","NG31 6RJ","Grantham and Bourne","01476564515","SYLVIA.MERRITT@THIRDAGECOUNSELLING.COM","www.thirdagecounselling.com","31/05/2024","19078","12380","Registered","Charitable company","Provides Services","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies","The charity is specifically restricted to the preservation and protection of health for the public benefit by the provision of counselling","THE PRESERVATION AND PROTECTION OF HEALTH FOR THE PUBLIC BENEFIT BY THE PROVISION OF COUNSELLING"
"1140568","0","SAMUELS CHILDRENS CHARITY","35 HARVARD CLOSE, LEWES","BN7 2EJ","Lewes","01273486529","info@samuelschildrenscharity.co.uk","www.samuelschildrenscharity.co.uk","31/12/2024","0","0","Registered","Trust","Makes Grants To Individuals, Makes Grants To Organisations, Provides Other Finance, Provides Human Resources, Provides Advocacy/advice/information","General Charitable Purposes, The Prevention Or Relief Of Poverty, Arts/culture/heritage/science, Amateur Sport","Children/young People, People With Disabilities, Other Charities Or Voluntary Bodies, Other Defined Groups","the charity holds fundraising days in the local town of lewes 4 times a year to raise funds","THE RELIEF OF SICKNESS AND PRESERVATION OF HEALTH OF CHILDREN DIAGNOSED WITH CANCER AND THEIR FAMILIES AND CARERS THROUGH THE PROVISION OF DAY TRIPS, SHORT BREAKS, SUPPORT AND PRACTICAL ADVICE."
"1140681","0","ETHIOPIAN HOSPITAL SCHOOLS","5 WESTBOURNE STREET, HOVE","BN3 5PE","Hove and Portslade","07885501147","ADMIN@ETHIOPIANHOSPITALSCHOOLS.ORG","https://ethiopianhospitalschools.org","31/08/2025","2028","1456","Registered","Trust","Provides Services","Education/training","Children/young People","TO ADVANCE THE EDUCATION OF PUPILS AT BLACK LION HOSPITAL IN ETHIOPIA BY SUCH MEANS AS ARE CHARITABLE ACCORDING TO THE LAWS OF ENGLAND AND WALES AS THE TRUSTEES IN THEIR ABSOLUTE DISCRETION THINK FIT","TO ADVANCE THE EDUCATION OF PUPILS AT THE ENGLISH ALIVE ACADEMY IN ETHIOPIA BY SUCH MEANS AS ARE CHARITABLE ACCORDING TO THE LAWS OF ENGLAND AND WALES AS THE TRUSTEES IN THEIR ABSOLUTE DISCRETION THINK FIT"
"1140822","0","JUSTLIFE FOUNDATION","Justlife, 1479 Ashton Old Road, Openshaw, MANCHESTER","M11 1HH","Manchester Central","0161 285 5888","info@justlife.org.uk","www.justlife.org.uk","31/03/2024","1500248","1608534","Registered","Charitable company","Provides Services, Provides Advocacy/advice/information","The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Accommodation/housing, Economic/community Development/employment","The General Public/mankind","Justlife provides innovative, strategic and frontline responses to community needs, working specifically to raise aspirations for vulnerable adults.  Justlife has three core workstreams:Regeneration: Enabling innovative physical regenerationResourcing: Ensuring that the most vulnerable have access to relevant services.Research: Gaining a deeper understanding of the needs of communitiesd","THE PREVENTION OR RELIEF OF POVERTY [OR FINANCIAL HARDSHIP] ANYWHERE IN THE WORLDBY PROVIDING OR ASSISTING IN THE PROVISION OF EDUCATION, TRAINING, HEALTHCARE PROJECTSAND ALL THE NECESSARY SUPPORT DESIGNED TO ENABLE INDIVIDUALS TO GENERATE A SUSTAINABLEINCOME AND BE SELF-SUFFICIENT."
"1141038","0","FRIENDS OF ST ANN'S WELL GARDENS, HOVE","Flat 4, 44-46 Norton Road, HOVE, East Sussex","BN3 3BH","Hove and Portslade","07919583067","fosawg@gmail.com","www.friendsofstannswellgardens.org","31/12/2024","34267","14569","Registered","Other","Provides Human Resources","Environment/conservation/heritage","Children/young People, People With Disabilities, The General Public/mankind","We raise money for improvements to St Ann's Well Gardens, Hove, an historic public park with significant wildlife interest. We have provided public information/interpretation boards and written information about features of the Gardens..; We provide volunteers to work on projects in the Gardens and we put on community festivals and wildlife events for the benefit of the local community.","TO PROMOTE THE PRESERVATION, RESTORATION, AND IMPROVEMENT OF ST ANN'S WELL GARDENS FOR THE EDUCATION AND BENEFIT OF THE PUBLIC, BY ASSOCIATING THE LOCAL AUTHORITY AND LOCAL COMMUNITY IN A COMMON EFFORT TO PROVIDE FACILITIES IN THE INTEREST OF SOCIAL WELFARE FOR RECREATION AND LEISURE TIME OCCUPATION WITH THE OBJECT OF IMPROVING THE LIVES OF LOCAL INHABITANTS"
"1142272","0","SUSSEX CLUBS FOR YOUNG PEOPLE LIMITED","KRESTON REEVES, MONTAGUE PLACE, QUAYSIDE, CHATHAM MARITIME, CHATHAM","ME4 4QU","Rochester and Strood","01634899813","AMBER.MAPLEY@KRESTONREEVES.COM","HTTPS://WWW.KRESTONREEVES.COM","31/03/2022","730529","631026","Registered","Charitable company","Makes Grants To Individuals, Makes Grants To Organisations, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Acts As An Umbrella Or Resource Body","Education/training, Recreation","Children/young People","We are an umbrella organisation for youth organisations in East and West Sussex and Brighton & Hove.  Established for over 80 years, we are committed to developing a vibrant grassroots led voluntary and community youth sector, which involves, empowers and meets the needs of young people in Sussex. We currently support 148 member organisations and directly deliver 43 weekly youth activities.","TO HELP AND EDUCATE BOYS AND YOUNG MEN,GIRLS AND YOUNG WOMEN IN THE COUNTIES OF EAST AND WEST SUSSEX THROUGH THEIR LEISURE TIME ACTIVITIES SO AS TO DEVELOP THEIR PHYSICAL,MENTAL AND SPIRITUAL CAPACITIES THAT THEY MAY GROW TO FULL MATURITY AS INDIVIDUA0001LS AND MEMBERS OF SOCIETY AND THAT THEIR CONDITIONS OF LIFE MAY BE IMPROVED"
"1142273","0","BRIGHTON & HOVE AMATEUR BOXING CLUB","Parsons Royle & Co, 2 Market Street, Atherton, MANCHESTER","M46 0DN","Leigh and Atherton","01942878263","philippa@parsons-royle.co.uk","","31/03/2024","215483","224773","Registered","Charitable company","Provides Services","Amateur Sport, Recreation","The General Public/mankind","The Brighton and Hove Amateur Boxing Club offers training and coaching to people of all age groups within the Brighton and Hove area.  The boxing club provides and maintains all the necessary boxing facilities and equipment to carry out their objectives.","THE CHARITY'S OBJECTS (""OBJECTS"") FOR THE PUBLIC BENEFIT ARE THE PROMOTION OF COMMUNITY PARTICIPATION IN HEALTHY RECREATION IN PARTICULAR BY THE PROVISION OF FACILITIES FOR AMATEUR BOXING IN THE BRIGHTON AND HOVE AREA."
"1142493","0","B.H. CHRISTIAN WORKERS' TRUST","Bishop Hannington Church, Nevill Avenue, Hove","BN3 7NH","Hove and Portslade","01273281332","johneputtock@aol.com","","31/12/2024","87079","89001","Registered","Charitable company","Provides Human Resources, Provides Buildings/facilities/open Space","Religious Activities","The General Public/mankind","The primary activity of the charity is the employment of Christian workers in the Parish of Bishop Hannington Church, Hove","THE CHARITY'S OBJECTS (""THE OBJECTS"") ARE FOR THE PUBLIC BENEFIT AND ARE RESTRICTED TO THE FOLLOWING:
 TO ADVANCE THE CHRISTIAN FAITH IN ACCORDANCE WITH THE STATEMENT OF BELIEFS IN THE SCHEDULE HERETO ATTACHED IN SUCH WAYS AND IN SUCH PARTS OF THE PARISH OF BISHOP HANNINGTON, HOVE, EAST SUSSEX, THE UNITED KINGDOM OR THE WORLD AS THE TRUSTEES FROM TIME TO TIME MAY THINK FIT."
"1142607","0","ONE CHURCH BRIGHTON","ONE CHURCH BRIGHTON, GLOUCESTER PLACE, BRIGHTON","BN1 4AA","Brighton Pavilion","01273694746","info@onechurchbrighton.org","www.onechurchbrighton.org","31/12/2023","445814","523167","Registered","Charitable company","Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","Religious Activities","Children/young People, Elderly/old People, The General Public/mankind","One Church Brighton is a thriving and passionate community trying to bring positive transformation. Characterised by entrepreneurial and collaborative activity, we run diverse, innovative and frontline projects serving those in need in Brighton and Hove. We strive to use our resources well and embody our Christ centred values of intimacy, involvement, inclusion, integrity and interdependence.","3.1	THE OBJECTS OF THE CHURCH ARE, FOR THE BENEFIT OF THE PUBLIC,:-
3.1.1	TO ADVANCE THE CHRISTIAN FAITH IN ACCORDANCE WITH THE STATEMENT OF BELIEFS IN BRIGHTON AND SUCH PARTS OF THE UNITED KINGDOM OR THE WORLD IN SUCH WAYS AS THE TRUSTEES FROM TIME TO TIME MAY THINK FIT AND TO FULFIL SUCH OTHER PURPOSES WHICH ARE EXCLUSIVELY CHARITABLE ACCORDING TO THE LAW OF ENGLAND AND WALES AND ARE CONNECTED WITH THE CHARITABLE WORK OF THE CHURCH;
3.1.2	TO RELIEVE SICKNESS AND FINANCIAL HARDSHIP AND TO PROMOTE AND PRESERVE GOOD HEALTH BY THE PROVISION OF FUNDS, GOODS OR SERVICES OF ANY KIND, INCLUDING THROUGH THE PROVISION OF COUNSELLING AND SUPPORT IN SUCH PARTS OF THE UNITED KINGDOM OR THE WORLD AS THE TRUSTEES FROM TIME TO TIME MAY THINK FIT; AND
3.1.3	TO PROVIDE COMMUNITY FACILITIES FOR RECREATIONAL AND OTHER LEISURE-TIME OCCUPATION IN THE INTERESTS OF HEALTH OR SOCIAL WELFARE FOR ALL PERSONS, BUT SPECIFICALLY INCLUDING THOSE WHO HAVE NEED BY REASON OF THEIR YOUTH, POVERTY OR SOCIAL AND ECONOMIC CIRCUMSTANCES WITH THE OBJECT OF IMPROVING THEIR CONDITIONS OF LIFE IN BRIGHTON AND THE SURROUNDING AREA AND IN OTHER SUCH PARTS OF THE UNITED KINGDOM OR THE WORLD AS THE TRUSTEES FROM TIME TO TIME MAY THINK FIT."
"1142636","0","OLD BOAT CORNER COMMUNITY ASSOCIATION LIMITED","OLD BOAT CORNER COMMUNITY CENTRE, CARDEN PARK, CARDEN HILL, BRIGHTON, EAST SUSSEX","BN1 8GN","Brighton Pavilion","01273540779","oldboatccc@gmail.com","","31/12/2024","368470","336488","Registered","Charitable company","Provides Buildings/facilities/open Space, Provides Services","Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","PRIMARILY PROVIDING PREMISES/FACILITIES (THE OLD BOAT CORNER COMMUNITY CENTRE) FOR USE BY RESIDENTS OF THE AREA OF BENEFIT - HOLLINGBURY, PATCHAM, COLDEAN.","TO PROMOTE THE BENEFIT OF THE INHABITANTS OF THE PATCHAM AND STANMER WARDS OF BRIGHTON AND HOVE AND THE NEIGHBOURHOOD (HEREINAFTER CALLED ""THE AREA OF BENEFIT"") WITHOUT DISTINCTION OF SEXUAL ORIENTATION RACE OR OF POLITICAL RELIGIOUS OR OTHER OPINIONS BY ASSOCIATING TOGETHER THE SAID INHABITANTS AND THE LOCAL AUTHORITIES AND VOLUNTARY AND OTHER ORGANISATIONS IN A COMMON EFFORT TO ADVANCE EDUCATION AND TO PROVIDE FACILITIES IN THE INTERESTS OF SOCIAL WELFARE FOR RECREATION AND LEISURE-TIME OCCUPATION WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE FOR THE SAID INHABITANTS."
"1142705","0","FE SUSSEX","PLUMPTON COLLEGE, DITCHLING ROAD, PLUMPTON, LEWES","BN7 3AE","Lewes","01273892123","info@fesussex.org.uk","www.fesussex.org.uk","31/07/2024","586545","507540","Registered","Charitable company","Provides Services","Education/training","The General Public/mankind","To promote further education in Sussex and South East, represent Members views, provide a forum for Members to exchange ideas and information, to develop and share best practice and identify and implement key national, local and other agendas in futher education sector and to assist Members in interpreting and implementing such agendas.","TO ADVANCE FURTHER EDUCATION IN SUSSEX AND THE SOUTH EAST BY:
1.	PROVIDING A FORUM FOR MEMBERS TO EXCHANGE IDEAS AND INFORMATION, TO DEVELOP AND SHARE BEST PRACTICE, TO IDENTIFY AND IMPLEMENT KEY NATIONAL, LOCAL AND OTHER AGENDAS IN THE FURTHER EDUCATION SECTOR AND TO ASSIST MEMBERS IN INTERPRETING AND IMPLEMENTING SUCH AGENDAS;
2.	SEEKING TO ASSIST POLICY AND DEVELOPMENT IN FURTHER EDUCATION BY ALL PROPER MEANS, INCLUDING ACTING IN A LOBBYING ROLE;
3.	PROVIDING SUCH PRODUCTS AND SERVICES AS WILL ASSIST MEMBERS IN THE DELIVERY OF HIGH QUALITY FURTHER EDUCATION; 
4.	PROVIDING A RESOURCE FOR THE PROVISION OF TRAINING TO MEMBERS AND THEIR STAFF; 
5.	DISSEMINATING THE RESULTS OF DISCUSSION AND RESEARCH TO INTERESTED PARTIES;
6.	SUCH OTHER MEANS AS THE TRUSTEES MAY FROM TIME TO TIME DETERMINE."
"1143005","0","WORLD STRATEGY MISSION","73 BLUEHOUSE ROAD, LONDON","E4 6HR","Chingford and Woodford Green","07702598620","RSMTRANSCULTURAL@HOTMAIL.COM","www.estrategiamundial.co.uk","31/10/2024","7000","6950","Registered","Other","Makes Grants To Organisations, Provides Other Finance, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Religious Activities","Children/young People, Elderly/old People, People With Disabilities","RAISING FINANCE TO BUILD  CHILDREN AND YOUNG PEOPLE THAT WE WILL DEVELOP ARE IN ILFORD CENTRAL, INDIA, ANGOLA, ALBANIA, BOLIVIA AND BRAZIL,WE WILL PROVIDE A COMMUNITY CENTRE THAT WILL SERVE AS A MULTI PURPOSE FACILITY, HOUSING A TRAINING CENTRE, SKILLS WORKSHOP, AFTER SCHOOL CARE FACILITIES AND MUCH MORE. COMMUNITY LOCAL AREA WHERE WE WORK WITH CHILDREN.","THE ADVANCEMENT OF THE CHRISTIAN FAITH BY THE FURTHERING OF MISSIONARY WORK TO RELIEVE POVERTY AND TO ADVANCE EDUCATION AND RELIGION."
